,team_id,season,player_id,full_name,first_name,last_name,jersey_number,position,position_code
259,8,2016,8476381,Andrew Shaw,Andrew,Shaw,65,Right Wing,RW
260,8,2016,8476470,Nathan Beaulieu,Nathan,Beaulieu,28,Defenseman,D
261,8,2016,8476479,Phillip Danault,Phillip,Danault,24,Center,C
262,8,2016,8476769,Bobby Farnham,Bobby,Farnham,44,Right Wing,RW
263,8,2016,8476808,Brian Flynn,Brian,Flynn,46,Center,C
264,8,2016,8476851,Alex Galchenyuk,Alex,Galchenyuk,17,Center,C
265,8,2016,8476948,Charles Hudon,Charles,Hudon,54,Left Wing,LW
266,8,2016,8477413,Sven Andrighetto,Sven,Andrighetto,10,Right Wing,RW
267,8,2016,8477446,Michael McCarron,Michael,McCarron,47,Right Wing,RW
268,8,2016,8477455,Jacob de la Rose,Jacob,de,61,Left Wing,LW
269,8,2016,8477476,Artturi Lehkonen,Artturi,Lehkonen,62,Left Wing,LW
270,8,2016,8477810,Joel Hanley,Joel,Hanley,44,Defenseman,D
271,8,2016,8477901,Daniel Carr,Daniel,Carr,28,Left Wing,LW
272,8,2016,8477957,Nikita Scherbak,Nikita,Scherbak,21,Right Wing,RW
273,8,2016,8478004,Brett Lernout,Brett,Lernout,8,Defenseman,D
274,8,2016,8478561,Andreas Martinsen,Andreas,Martinsen,23,Left Wing,LW
275,8,2016,8478963,Ryan Johnston,Ryan,Johnston,75,Defenseman,D
276,8,2016,8479410,Mikhail Sergachev,Mikhail,Sergachev,98,Defenseman,D
277,8,2016,8471219,Al Montoya,Al,Montoya,35,Goalie,G
278,8,2016,8471679,Carey Price,Carey,Price,31,Goalie,G
279,8,2016,8479292,Charlie Lindgren,Charlie,Lindgren,79,Goalie,G
280,9,2016,8467493,Chris Neil,Chris,Neil,25,Right Wing,RW
281,9,2016,8467967,Chris Kelly,Chris,Kelly,22,Center,C
282,9,2016,8470358,Alexandre Burrows,Alexandre,Burrows,14,Right Wing,RW
283,9,2016,8470602,Dion Phaneuf,Dion,Phaneuf,3,Defenseman,D
284,9,2016,8470667,Clarke MacArthur,Clarke,MacArthur,16,Left Wing,LW
285,9,2016,8470760,Marc Methot,Marc,Methot,33,Defenseman,D
286,9,2016,8471663,Mike Blunden,Mike,Blunden,20,Right Wing,RW
287,9,2016,8471676,Bobby Ryan,Bobby,Ryan,54,Right Wing,RW
288,9,2016,8471768,Tom Pyatt,Tom,Pyatt,10,Left Wing,LW
289,9,2016,8473537,Viktor Stalberg,Viktor,Stalberg,24,Left Wing,LW
290,9,2016,8473544,Derick Brassard,Derick,Brassard,61,Center,C
291,9,2016,8474018,Christopher DiDomenico,Christopher,DiDomenico,49,Left Wing,LW
292,9,2016,8474068,Kyle Turris,Kyle,Turris,8,Center,C
293,9,2016,8474250,Zack Smith,Zack,Smith,15,Center,C
294,9,2016,8474578,Erik Karlsson,Erik,Karlsson,65,Defenseman,D
295,9,2016,8474697,Mark Borowiecki,Mark,Borowiecki,90,Defenseman,D
296,9,2016,8474739,Tommy Wingels,Tommy,Wingels,57,Center,C
297,9,2016,8474884,Mike Hoffman,Mike,Hoffman,68,Center,C
298,9,2016,8475227,Chris Wideman,Chris,Wideman,6,Defenseman,D
299,9,2016,8475321,Phil Varone,Phil,Varone,44,Center,C
300,9,2016,8475913,Mark Stone,Mark,Stone,61,Right Wing,RW
301,9,2016,8476279,Jyrki Jokipakka,Jyrki,Jokipakka,23,Defenseman,D
302,9,2016,8476288,Ryan Dzingel,Ryan,Dzingel,19,Center,C
303,9,2016,8476323,Max McCormick,Max,McCormick,71,Left Wing,LW
304,9,2016,8476368,Fredrik Claesson,Fredrik,Claesson,3,Defenseman,D
305,9,2016,8476419,Jean-Gabriel Pageau,Jean-Gabriel,Pageau,44,Center,C
306,9,2016,8476477,Matt Puempel,Matt,Puempel,54,Left Wing,LW
307,9,2016,8476879,Cody Ceci,Cody,Ceci,5,Defenseman,D
308,9,2016,8477210,Buddy Robinson,Buddy,Robinson,53,Right Wing,RW
309,9,2016,8477426,Nicholas Paul,Nicholas,Paul,20,Left Wing,LW
310,9,2016,8477433,Ben Harpur,Ben,Harpur,5,Defenseman,D
311,9,2016,8477508,Curtis Lazar,Curtis,Lazar,42,Center,C
312,9,2016,8477971,Andreas Englund,Andreas,Englund,5,Defenseman,D
313,9,2016,8478376,Casey Bailey,Casey,Bailey,37,Right Wing,RW
314,9,2016,8478400,Colin White,Colin,White,36,Center,C
315,9,2016,8478469,Thomas Chabot,Thomas,Chabot,72,Defenseman,D
316,9,2016,8467950,Craig Anderson,Craig,Anderson,41,Goalie,G
317,9,2016,8476904,Chris Driedger,Chris,Driedger,60,Goalie,G
318,9,2016,8477202,Andrew Hammond,Andrew,Hammond,35,Goalie,G
319,9,2016,8477237,Mike Condon,Mike,Condon,1,Goalie,G
320,10,2016,8470599,Milan Michalek,Milan,Michalek,18,Left Wing,LW
321,10,2016,8470611,Eric Fehr,Eric,Fehr,21,Center,C
322,10,2016,8470619,Brian Boyle,Brian,Boyle,11,Center,C
323,10,2016,8471392,Roman Polak,Roman,Polak,45,Defenseman,D
324,10,2016,8471436,Matt Hunwick,Matt,Hunwick,48,Defenseman,D
325,10,2016,8473463,Leo Komarov,Leo,Komarov,47,Right Wing,RW
326,10,2016,8474037,James van Riemsdyk,James,van,21,Left Wing,LW
327,10,2016,8474581,Jake Gardiner,Jake,Gardiner,51,Defenseman,D
328,10,2016,8474709,Matt Martin,Matt,Martin,17,Left Wing,LW
329,10,2016,8474727,Ben Smith,Ben,Smith,18,Right Wing,RW
